NGC 3726|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;vL;lE 0;vsmbM *15;*11 n___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 730;well defined spiral pattern ___REPLACE_PIPE___
NGC 3904|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;S;R;mbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 864 ___REPLACE_PIPE___
NGC 4038|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;cL;R;vgbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H IV 28;Ringtail Galaxy;two filaments ___REPLACE_PIPE___
NGC 4096|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;vL;mE32;sBN or bar___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H I 207;nearly edge on ___REPLACE_PIPE___
NGC 4125|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pL;cE;mbM___REPLACE_PIPE___ 
NGC 4244|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;vL;eE43;vgbM;vsBN or *?___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H V 41 ___REPLACE_PIPE___
NGC 4261|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pS;R;gbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 139;NGC 4264 @ 3.4';NGC 4257 @ 7.1;UGC 7360;3C270 ___REPLACE_PIPE___
NGC 4267|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;vS;R;vsmbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 166 ___REPLACE_PIPE___
NGC 4373|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;S;R;pgvmbM___REPLACE_PIPE___ 
NGC 4394|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;lE;bM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 55;P w NGC 4382 @ 7.8' ___REPLACE_PIPE___
NGC 4459|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pL;iR;bM;r;*8 sf 2'___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H I 161;comp @ 2.2';NGC 4468 @ 8.5';NGC 4474 @ 13.5' ___REPLACE_PIPE___
